,Unnamed: 0.1,Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,nf,nd,ns,ent,app,rtime,self,hcmt,nrev,revd,nuc,ndev,age,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
0,0,0.0,3b96d3c6bb0ff97fb816dd00feac66c5c4079c8f,0,0,0,1451026756,92,0,2,1,1,46.0,0,0,False,0,0,True,2,1,8825,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
1,1,1.0,3a6352f90f9085f696321211b014acb1b9cfbdf7,0,0,0,1450845131,1,1,0,0,0,0.0,0,0,False,0,0,True,0,0,63152,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
2,2,2.0,c324eaa4b2cac3fd1ced59f18a1bc0a91a8d5c39,0,0,0,1450855847,118,118,116,116,41,2.034482758620689,0,0,False,0,0,True,4154,2,2738,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
3,3,3.0,2a1457307dbbc6c24111033c54f673f50da1666a,0,0,0,1450853109,118,118,116,116,41,2.034482758620689,0,0,False,0,0,True,4154,2,187,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
4,4,4.0,1495d2988e434c6ad1d668327e50fde0bb6822c7,0,0,0,1450852922,1,1,0,0,0,0.0,0,0,False,0,0,True,0,0,2741,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
5,5,5.0,786b92111e556d88ae7b721b0a9beee648a9909b,0,0,0,1450850703,1,1,0,0,0,0.0,0,0,False,0,0,True,0,0,43658,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
6,6,6.0,fdad3b28249eac614bacf3a36aaba7b2da791712,0,0,0,1450850181,1,1,1,1,1,2.0,0,0,False,0,0,True,375,43,32785,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
7,7,7.0,f7d0859ddedcae8f1d69a645f472d2bf8ef5e474,0,0,2,1450848882,1,1,0,0,0,0.0,0,0,False,0,0,True,0,0,33145,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
8,8,8.0,34ac984977f241a624e8ce03e46344293945fa4f,0,0,0,1449943045,1,1,1,1,1,2.0,0,0,False,0,0,True,375,43,72845,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
9,9,9.0,be466f7fb38274d1b7a9a098dfa58a69ab7e9e19,0,0,0,1450817396,9,1,1,1,1,10.0,0,0,False,0,0,True,4,4,11017,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
10,10,10.0,e026c121a48235028e9c9eaa5ccef86e08f3d7b0,0,0,0,1450848850,1,1,0,0,0,0.0,0,0,False,0,0,True,0,0,5026,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
11,11,11.0,955dc804f307ce9ef9a68a9ce1d91e29f58c7b57,0,0,0,1450297337,1,1,1,1,1,2.0,0,0,False,0,0,True,81,16,81537,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
12,12,12.0,d05bbec3bfdb96e87d9c1e314b3030beb797efcd,0,2,0,1450843824,1,1,1,1,1,2.0,0,0,False,0,0,True,38,7,21212,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
13,13,13.0,41ef8328971013ea7c0fa07c076199d4e1a04aac,0,0,0,1450844479,7,3,0,0,0,0.0,0,0,False,0,0,True,0,0,21867,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
14,14,14.0,361cb05362eb3c474fcebd2b4b95ac0683db1e18,0,0,0,1450781979,1,1,1,1,1,2.0,0,0,False,0,0,True,375,43,23394,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
15,15,15.0,560353497eed2e590d96ac02b5008549d026d70c,0,0,0,1450832769,7,3,2,1,1,5.0,0,0,False,0,0,True,3,1,10157,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
16,16,16.0,4fcefbf6bbe92fd1c31de6f6ee1890cd1d8688e9,0,0,0,1450822612,9,1,0,0,0,0.0,0,0,False,0,0,True,0,0,5216,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
17,17,17.0,b899df6b7aaae383ec44ee579569a4a764b42c5b,0,0,0,1450817663,63,193,0,0,0,0.0,0,0,False,0,0,True,0,0,11284,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
18,18,18.0,c4a9ad3aef609202a664a9bf1b3fcb3fa7012a16,0,0,0,1450810948,63,193,3,2,2,85.33333333333333,0,0,False,0,0,True,575,23,4569,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
19,19,19.0,cacf11db5f4ed883e300ee579b4329b543ab9430,0,0,0,1450806379,5,0,0,0,0,0.0,0,0,False,0,0,True,0,0,9896,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
20,20,20.0,a3f0ff75aa9f266d27c3e7939d55da071882168a,0,0,0,1450806347,15,1,0,0,0,0.0,0,0,False,0,0,True,0,0,11028,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
